algorithm,threads,read_prop,distribution,num_key,num_seconds,staleness
RAMP-F,16,0.7,uniform,1000000,10,99.98068239674565
RAMP-F,16,0.7,uniform,1000000,20,99.98238594578471
RAMP-F,16,0.7,uniform,1000000,30,99.98486091325657
RAMP-F,16,0.7,uniform,1000000,40,99.98678945933854
RAMP-F,16,0.7,uniform,1000000,50,99.9891358570716
RAMP-F,16,0.7,uniform,1000000,100,99.99360365549481
RAMP-F,16,0.7,uniform,1000000,150,99.99578934105438
RAMP-F,16,0.7,uniform,1000000,200,99.99678575653006
RAMP-F,16,0.7,uniform,1000000,500,99.9999678575653
RAMP-F,16,0.7,uniform,1000000,1000,100.0
RAMP-F,16,0.7,uniform,1000000,3000,100.0
