algorithm,threads,read_prop,distribution,num_key,num_seconds,staleness
RAMP-S,16,0.7,uniform,1000000,10,99.94500726097917
RAMP-S,16,0.7,uniform,1000000,20,99.94510924102372
RAMP-S,16,0.7,uniform,1000000,30,99.94516023104599
RAMP-S,16,0.7,uniform,1000000,40,99.94526221109054
RAMP-S,16,0.7,uniform,1000000,50,99.94531320111281
RAMP-S,16,0.7,uniform,1000000,100,99.94579760632439
RAMP-S,16,0.7,uniform,1000000,150,99.94630750654711
RAMP-S,16,0.7,uniform,1000000,200,99.94658795166961
RAMP-S,16,0.7,uniform,1000000,500,99.94918844280551
RAMP-S,16,0.7,uniform,1000000,1000,99.95721937131343
RAMP-S,16,0.7,uniform,1000000,3000,99.98041983144739
