algorithm,threads,read_prop,distribution,num_key,num_seconds,staleness
RAMP-S_OPW,16,0.7,uniform,1000000,10,99.9497623465693
RAMP-S_OPW,16,0.7,uniform,1000000,20,99.95016596992306
RAMP-S_OPW,16,0.7,uniform,1000000,30,99.95038123571175
RAMP-S_OPW,16,0.7,uniform,1000000,40,99.95067722617115
RAMP-S_OPW,16,0.7,uniform,1000000,50,99.95105394130132
RAMP-S_OPW,16,0.7,uniform,1000000,100,99.95223790313901
RAMP-S_OPW,16,0.7,uniform,1000000,150,99.9529106087286
RAMP-S_OPW,16,0.7,uniform,1000000,200,99.95347568142385
RAMP-S_OPW,16,0.7,uniform,1000000,500,99.95616650378221
RAMP-S_OPW,16,0.7,uniform,1000000,1000,99.96197868007629
RAMP-S_OPW,16,0.7,uniform,1000000,3000,99.98102970237352
