algorithm,threads,read_prop,distribution,num_key,num_seconds,staleness
LORA,16,0.7,zipfian,1000000,10,45.21760214846242
LORA,16,0.7,zipfian,1000000,20,48.22432100017337
LORA,16,0.7,zipfian,1000000,30,50.23102186080135
LORA,16,0.7,zipfian,1000000,40,51.70440977799004
LORA,16,0.7,zipfian,1000000,50,52.89946746394424
LORA,16,0.7,zipfian,1000000,100,56.79097959811191
LORA,16,0.7,zipfian,1000000,150,59.35017026106697
LORA,16,0.7,zipfian,1000000,200,61.23420464693318
LORA,16,0.7,zipfian,1000000,500,67.77249130703582
LORA,16,0.7,zipfian,1000000,1000,73.58111688643048
LORA,16,0.7,zipfian,1000000,3000,84.10639108689038
