algorithm,threads,read_prop,distribution,num_key,num_seconds,staleness
NOC-RA,16,0.7,zipfian,1000000,10,83.41459933354926
NOC-RA,16,0.7,zipfian,1000000,20,84.84353412860925
NOC-RA,16,0.7,zipfian,1000000,30,85.5048977358608
NOC-RA,16,0.7,zipfian,1000000,40,85.93723066112572
NOC-RA,16,0.7,zipfian,1000000,50,86.30566336735124
NOC-RA,16,0.7,zipfian,1000000,100,87.67699281031041
NOC-RA,16,0.7,zipfian,1000000,150,88.55007621546744
NOC-RA,16,0.7,zipfian,1000000,200,89.22615224428475
NOC-RA,16,0.7,zipfian,1000000,500,92.51737950545036
NOC-RA,16,0.7,zipfian,1000000,1000,96.00096618887895
NOC-RA,16,0.7,zipfian,1000000,3000,99.65089107135341
