algorithm,threads,read_prop,distribution,num_key,num_seconds,staleness
ORA,16,0.7,zipfian,1000000,10,95.69662530819083
ORA,16,0.7,zipfian,1000000,20,96.06481014949797
ORA,16,0.7,zipfian,1000000,30,96.27738359288013
ORA,16,0.7,zipfian,1000000,40,96.42606478539876
ORA,16,0.7,zipfian,1000000,50,96.54377220273396
ORA,16,0.7,zipfian,1000000,100,96.90407216748184
ORA,16,0.7,zipfian,1000000,150,97.14136098626723
ORA,16,0.7,zipfian,1000000,200,97.30422081331618
ORA,16,0.7,zipfian,1000000,500,97.84940875801172
ORA,16,0.7,zipfian,1000000,1000,98.4825325233479
ORA,16,0.7,zipfian,1000000,3000,99.91768613170431
