algorithm,threads,read_prop,distribution,num_key,num_seconds,staleness
RAMP-F,16,0.7,zipfian,1000000,10,97.03615540002329
RAMP-F,16,0.7,zipfian,1000000,20,97.42896165269156
RAMP-F,16,0.7,zipfian,1000000,30,97.69143621749794
RAMP-F,16,0.7,zipfian,1000000,40,97.86346221730203
RAMP-F,16,0.7,zipfian,1000000,50,98.00211058972687
RAMP-F,16,0.7,zipfian,1000000,100,98.38903971863732
RAMP-F,16,0.7,zipfian,1000000,150,98.59758520443334
RAMP-F,16,0.7,zipfian,1000000,200,98.71738242518218
RAMP-F,16,0.7,zipfian,1000000,500,99.17313673923128
RAMP-F,16,0.7,zipfian,1000000,1000,99.5290538754826
RAMP-F,16,0.7,zipfian,1000000,3000,99.98469730040419
