algorithm,threads,read_prop,distribution,num_key,num_seconds,staleness
RAMP-S,16,0.7,zipfian,1000000,10,96.41475146065365
RAMP-S,16,0.7,zipfian,1000000,20,96.67527273142231
RAMP-S,16,0.7,zipfian,1000000,30,96.83021042541537
RAMP-S,16,0.7,zipfian,1000000,40,96.94455221836772
RAMP-S,16,0.7,zipfian,1000000,50,97.04203373197005
RAMP-S,16,0.7,zipfian,1000000,100,97.35653071937192
RAMP-S,16,0.7,zipfian,1000000,150,97.54926853204309
RAMP-S,16,0.7,zipfian,1000000,200,97.69530536790214
RAMP-S,16,0.7,zipfian,1000000,500,98.36107243929159
RAMP-S,16,0.7,zipfian,1000000,1000,98.96872717728684
RAMP-S,16,0.7,zipfian,1000000,3000,99.98584991783824
