algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_CONST_ORT,100,0.95,1,16,5,5,1000000,zipfian,0.99,64811.50,7.45,7.44,7.55,49.91,10.00
READ_ATOMIC_CONST_ORT,250,0.95,1,16,5,5,1000000,zipfian,0.99,74229.34,16.27,16.27,16.34,84.03,27.00
READ_ATOMIC_CONST_ORT,500,0.95,1,16,5,5,1000000,zipfian,0.99,73950.18,32.69,32.68,32.78,32.69,60.23
READ_ATOMIC_CONST_ORT,750,0.95,1,16,5,5,1000000,zipfian,0.99,72684.57,49.87,49.86,50.00,49.87,84.02
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,5,5,1000000,zipfian,0.99,71509.07,67.62,67.61,67.75,67.62,67.62
READ_ATOMIC_FASTOPW,100,0.95,1,16,5,5,1000000,zipfian,0.99,49358.40,9.78,9.79,9.66,86.19,13.17
READ_ATOMIC_FASTOPW,250,0.95,1,16,5,5,1000000,zipfian,0.99,58841.03,20.52,20.53,20.49,20.52,34.77
READ_ATOMIC_FASTOPW,500,0.95,1,16,5,5,1000000,zipfian,0.99,63901.15,37.81,37.83,37.42,37.81,63.26
READ_ATOMIC_FASTOPW,750,0.95,1,16,5,5,1000000,zipfian,0.99,66686.88,54.34,54.35,54.09,54.34,96.54
READ_ATOMIC_FASTOPW,1000,0.95,1,16,5,5,1000000,zipfian,0.99,67694.15,71.42,71.43,71.19,71.42,71.42
READ_ATOMIC_LIST,100,0.95,1,16,5,5,1000000,zipfian,0.99,56833.13,8.50,8.15,15.25,67.64,11.62
READ_ATOMIC_LIST,250,0.95,1,16,5,5,1000000,zipfian,0.99,62395.46,19.36,18.55,34.79,86.87,35.39
READ_ATOMIC_LIST,500,0.95,1,16,5,5,1000000,zipfian,0.99,59248.34,40.78,39.07,73.27,40.78,69.59
READ_ATOMIC_LIST,750,0.95,1,16,5,5,1000000,zipfian,0.99,59208.04,61.18,58.61,110.08,61.18,61.18
READ_ATOMIC_LIST,1000,0.95,1,16,5,5,1000000,zipfian,0.99,59270.59,81.58,78.18,146.16,81.58,81.58
READ_ATOMIC_LORA,100,0.95,1,16,5,5,1000000,zipfian,0.99,65471.30,7.38,7.34,8.26,51.54,10.48
READ_ATOMIC_LORA,250,0.95,1,16,5,5,1000000,zipfian,0.99,73182.84,16.50,16.43,17.98,72.63,29.26
READ_ATOMIC_LORA,500,0.95,1,16,5,5,1000000,zipfian,0.99,70735.31,34.17,34.02,36.95,34.17,61.02
READ_ATOMIC_LORA,750,0.95,1,16,5,5,1000000,zipfian,0.99,68638.22,52.81,52.57,57.47,52.81,92.28
READ_ATOMIC_LORA,1000,0.95,1,16,5,5,1000000,zipfian,0.99,68677.71,70.40,70.07,76.58,70.40,70.40
READ_ATOMIC_NOC,100,0.95,1,16,5,5,1000000,zipfian,0.99,43156.70,11.43,5.04,132.99,37.80,12.99
READ_ATOMIC_NOC,250,0.95,1,16,5,5,1000000,zipfian,0.99,67860.41,17.83,14.80,75.42,83.57,26.00
READ_ATOMIC_NOC,500,0.95,1,16,5,5,1000000,zipfian,0.99,67805.00,35.67,32.42,97.44,35.67,60.54
READ_ATOMIC_NOC,750,0.95,1,16,5,5,1000000,zipfian,0.99,65484.62,55.47,50.44,151.33,55.47,94.58
READ_ATOMIC_NOC,1000,0.95,1,16,5,5,1000000,zipfian,0.99,62027.68,78.05,70.96,212.64,78.05,78.05
READ_ATOMIC_STAMP,100,0.95,1,16,5,5,1000000,zipfian,0.99,40779.49,11.85,11.85,11.84,59.25,18.59
READ_ATOMIC_STAMP,250,0.95,1,16,5,5,1000000,zipfian,0.99,41895.25,28.85,28.86,28.78,28.85,53.01
READ_ATOMIC_STAMP,500,0.95,1,16,5,5,1000000,zipfian,0.99,41385.97,58.43,58.43,58.51,58.43,58.43
READ_ATOMIC_STAMP,750,0.95,1,16,5,5,1000000,zipfian,0.99,39555.57,91.74,91.73,91.99,91.74,91.74
READ_ATOMIC_STAMP,1000,0.95,1,16,5,5,1000000,zipfian,0.99,39218.15,123.39,123.39,123.40,123.39,123.39
