algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,5,5,1000000,zipfian,0.99,71432.31,67.68,67.68,67.76,67.68,67.68
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,10,10,1000000,zipfian,0.99,111608.52,86.64,86.61,87.11,86.64,86.64
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,15,15,1000000,zipfian,0.99,144559.53,100.35,100.32,100.89,100.35,100.35
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,20,20,1000000,zipfian,0.99,174436.30,110.85,110.81,111.52,110.85,110.85
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,25,25,1000000,zipfian,0.99,202115.67,119.65,119.60,120.58,119.65,119.65
READ_ATOMIC_FASTOPW,1000,0.95,1,16,5,5,1000000,zipfian,0.99,68362.31,70.91,70.92,70.64,70.91,70.91
READ_ATOMIC_FASTOPW,1000,0.95,1,16,10,10,1000000,zipfian,0.99,102628.92,94.17,94.18,93.92,94.17,94.17
READ_ATOMIC_FASTOPW,1000,0.95,1,16,15,15,1000000,zipfian,0.99,138923.25,104.58,104.57,104.78,104.58,104.58
READ_ATOMIC_FASTOPW,1000,0.95,1,16,20,20,1000000,zipfian,0.99,161802.84,119.48,119.50,118.99,119.48,119.48
READ_ATOMIC_FASTOPW,1000,0.95,1,16,25,25,1000000,zipfian,0.99,185912.74,130.02,130.04,129.78,130.02,130.02
READ_ATOMIC_LIST,1000,0.95,1,16,5,5,1000000,zipfian,0.99,58180.21,83.08,79.56,149.69,83.08,83.08
READ_ATOMIC_LIST,1000,0.95,1,16,10,10,1000000,zipfian,0.99,98356.52,98.33,94.21,176.84,98.33,98.33
READ_ATOMIC_LIST,1000,0.95,1,16,15,15,1000000,zipfian,0.99,134537.97,107.86,103.46,191.36,107.86,107.86
READ_ATOMIC_LIST,1000,0.95,1,16,20,20,1000000,zipfian,0.99,169090.87,114.32,109.68,202.60,114.32,114.32
READ_ATOMIC_LIST,1000,0.95,1,16,25,25,1000000,zipfian,0.99,192913.65,125.37,120.31,221.52,125.37,125.37
READ_ATOMIC_LORA,1000,0.95,1,16,5,5,1000000,zipfian,0.99,67795.73,71.33,71.01,77.43,71.33,71.33
READ_ATOMIC_LORA,1000,0.95,1,16,10,10,1000000,zipfian,0.99,101131.40,95.63,94.52,116.60,95.63,95.63
READ_ATOMIC_LORA,1000,0.95,1,16,15,15,1000000,zipfian,0.99,141733.48,102.33,100.61,134.95,102.33,102.33
READ_ATOMIC_LORA,1000,0.95,1,16,20,20,1000000,zipfian,0.99,170388.25,113.47,111.32,154.25,113.47,113.47
READ_ATOMIC_LORA,1000,0.95,1,16,25,25,1000000,zipfian,0.99,191614.77,126.30,123.62,177.13,126.30,126.30
READ_ATOMIC_NOC,1000,0.95,1,16,5,5,1000000,zipfian,0.99,63145.58,76.62,69.59,210.56,76.62,76.62
READ_ATOMIC_NOC,1000,0.95,1,16,10,10,1000000,zipfian,0.99,97869.78,98.96,88.09,305.92,98.96,98.96
READ_ATOMIC_NOC,1000,0.95,1,16,15,15,1000000,zipfian,0.99,125066.71,116.14,102.93,366.67,116.14,116.14
READ_ATOMIC_NOC,1000,0.95,1,16,20,20,1000000,zipfian,0.99,143934.80,134.73,116.73,477.32,134.73,134.73
READ_ATOMIC_NOC,1000,0.95,1,16,25,25,1000000,zipfian,0.99,161149.81,150.41,129.18,553.20,150.41,150.41
READ_ATOMIC_STAMP,1000,0.95,1,16,5,5,1000000,zipfian,0.99,39242.21,123.39,123.41,123.07,123.39,123.39
READ_ATOMIC_STAMP,1000,0.95,1,16,10,10,1000000,zipfian,0.99,61038.89,158.48,158.47,158.82,158.48,158.48
READ_ATOMIC_STAMP,1000,0.95,1,16,15,15,1000000,zipfian,0.99,83098.94,174.69,174.66,175.29,174.69,174.69
READ_ATOMIC_STAMP,1000,0.95,1,16,20,20,1000000,zipfian,0.99,100885.46,191.89,191.85,192.61,191.89,191.89
READ_ATOMIC_STAMP,1000,0.95,1,16,25,25,1000000,zipfian,0.99,115342.06,209.75,209.70,210.55,209.75,209.75
