algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_CONST_ORT,1000,0.0,1,16,5,5,1000000,zipfian,0.99,26040.84,185.99,0.00,185.99,185.99,185.99
READ_ATOMIC_CONST_ORT,1000,0.3,1,16,5,5,1000000,zipfian,0.99,32533.62,148.88,147.64,149.41,148.88,148.88
READ_ATOMIC_CONST_ORT,1000,0.5,1,16,5,5,1000000,zipfian,0.99,38145.86,127.98,127.66,128.29,127.98,127.98
READ_ATOMIC_CONST_ORT,1000,0.7,1,16,5,5,1000000,zipfian,0.99,48328.71,100.07,99.76,100.79,100.07,100.07
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,5,5,1000000,zipfian,0.99,69565.49,69.47,69.47,69.56,69.47,69.47
READ_ATOMIC_FASTOPW,1000,0.0,1,16,5,5,1000000,zipfian,0.99,23074.73,210.81,0.00,210.81,210.81,210.81
READ_ATOMIC_FASTOPW,1000,0.3,1,16,5,5,1000000,zipfian,0.99,29164.55,165.55,165.25,165.68,165.55,165.55
READ_ATOMIC_FASTOPW,1000,0.5,1,16,5,5,1000000,zipfian,0.99,36377.07,132.60,132.62,132.58,132.60,132.60
READ_ATOMIC_FASTOPW,1000,0.7,1,16,5,5,1000000,zipfian,0.99,34227.88,142.98,142.89,143.19,142.98,142.98
READ_ATOMIC_FASTOPW,1000,0.95,1,16,5,5,1000000,zipfian,0.99,66082.22,73.07,73.08,72.87,73.07,73.07
READ_ATOMIC_LIST,1000,0.0,1,16,5,5,1000000,zipfian,0.99,15974.78,303.79,0.00,303.79,303.79,303.79
READ_ATOMIC_LIST,1000,0.3,1,16,5,5,1000000,zipfian,0.99,20761.24,237.06,144.12,276.92,237.06,237.06
READ_ATOMIC_LIST,1000,0.5,1,16,5,5,1000000,zipfian,0.99,25624.48,190.70,132.52,248.80,190.70,190.70
READ_ATOMIC_LIST,1000,0.7,1,16,5,5,1000000,zipfian,0.99,33453.78,144.55,114.60,214.44,144.55,144.55
READ_ATOMIC_LIST,1000,0.95,1,16,5,5,1000000,zipfian,0.99,58989.10,82.09,78.68,147.01,82.09,82.09
READ_ATOMIC_LORA,1000,0.0,1,16,5,5,1000000,zipfian,0.99,20488.40,235.92,0.00,235.92,235.92,235.92
READ_ATOMIC_LORA,1000,0.3,1,16,5,5,1000000,zipfian,0.99,25643.31,190.09,183.93,192.73,190.09,190.09
READ_ATOMIC_LORA,1000,0.5,1,16,5,5,1000000,zipfian,0.99,31004.85,156.48,154.09,158.85,156.48,156.48
READ_ATOMIC_LORA,1000,0.7,1,16,5,5,1000000,zipfian,0.99,39250.22,123.84,121.97,128.20,123.84,123.84
READ_ATOMIC_LORA,1000,0.95,1,16,5,5,1000000,zipfian,0.99,67043.72,72.06,71.65,79.93,72.06,72.06
READ_ATOMIC_NOC,1000,0.0,1,16,5,5,1000000,zipfian,0.99,5156.49,945.34,0.00,945.34,945.34,945.34
READ_ATOMIC_NOC,1000,0.3,1,16,5,5,1000000,zipfian,0.99,19112.48,258.82,109.81,322.69,258.82,258.82
READ_ATOMIC_NOC,1000,0.5,1,16,5,5,1000000,zipfian,0.99,18294.29,267.48,93.29,441.23,267.48,267.48
READ_ATOMIC_NOC,1000,0.7,1,16,5,5,1000000,zipfian,0.99,31364.71,156.10,99.18,288.87,156.10,156.10
READ_ATOMIC_NOC,1000,0.95,1,16,5,5,1000000,zipfian,0.99,63649.29,76.05,69.31,203.74,76.05,76.05
READ_ATOMIC_STAMP,1000,0.0,1,16,5,5,1000000,zipfian,0.99,19211.96,254.87,0.00,254.87,254.87,254.87
READ_ATOMIC_STAMP,1000,0.3,1,16,5,5,1000000,zipfian,0.99,22573.99,220.21,214.63,222.60,220.21,220.21
READ_ATOMIC_STAMP,1000,0.5,1,16,5,5,1000000,zipfian,0.99,25391.19,191.63,191.23,192.03,191.63,191.63
READ_ATOMIC_STAMP,1000,0.7,1,16,5,5,1000000,zipfian,0.99,29748.58,164.63,164.42,165.10,164.63,164.63
READ_ATOMIC_STAMP,1000,0.95,1,16,5,5,1000000,zipfian,0.99,38166.72,126.84,126.83,126.91,126.84,126.84
